pair,TP,BO,SO,MaxSO,SOS,OS,MSC,,end_date,tot_deals,avg_duration_m,max_duration_m,tot_days_deals,max_safe_orders,final_profit,required_investment,profit_percent
BTC/USDT,1.2,10,15,25,2,1.1,1,,2021-05-01T04:32:00Z,435,701.728.735.632.183,23279,132,13,386.291.536.450.604,148.520.589.150.825,0.260092919546876
ETH/USDT,1.2,10,15,25,2,1.1,1,,2021-04-30T04:25:00Z,788,385.539.340.101.522,9726,163,12,270.323.808.362.397,148.520.589.150.825,0.182010999221042
BTT/USDT,1.2,10,15,20,2,1,1,,2021-04-17T17:37:00Z,1306,218.895.099.540.581,53459,88,20,425.781.899.540.158,310,137.348.999.851.664
ADA/USDT,1.2,10,15,20,2,1,1,,2021-04-30T21:12:00Z,1290,236.288.372.093.023,20100,149,16,412.987.593.175.403,310,13.322.180.425.013
BTC/USDT,1.2,10,15,20,2,1,1,,2021-05-01T04:32:00Z,422,723.345.971.563.981,23279,129,13,374.525.174.877.497,310,120.814.572.541.128
LINK/USDT,1.2,10,15,20,2,1,1,,2021-04-29T17:28:00Z,931,325.615.467.239.527,14416,147,20,306.894.537.214.806,310,0.989982378112278
ETH/USDT,1.2,10,15,20,2,1,1,,2021-04-30T12:00:00Z,684,444.824.561.403.508,11652,149,14,216.714.646.519.921,310,0.699079504902972
BTT/USDT,1.2,10,15,20,2,1.05,1,,2021-05-01T03:47:00Z,1664,18.341.766.826.923,47459,125,20,577.690.031.009.771,505.989.311.543.326,114.170.401.988.877
ADA/USDT,1.2,10,15,20,2,1.05,1,,2021-04-30T21:12:00Z,1390,219.289.208.633.093,14251,161,14,463.065.703.118.309,505.989.311.543.326,0.915168942414822
BTC/USDT,1.2,10,15,20,2,1.05,1,,2021-05-01T04:32:00Z,423,721.635.933.806.146,23279,129,13,375.977.787.042.878,505.989.311.543.326,0.743054800695497
LINK/USDT,1.2,10,15,20,2,1.05,1,,2021-04-29T17:24:00Z,1023,2.963.284.457.478,9012,159,20,355.844.371.226.969,505.989.311.543.326,0.703264600869932
ETH/USDT,1.2,10,15,20,2,1.05,1,,2021-04-30T04:25:00Z,730,416.171.232.876.712,11652,156,12,241.161.027.628.132,505.989.311.543.326,0.476612889099501
BTT/USDT,1.2,10,15,20,2,1.1,1,,2021-05-01T03:47:00Z,1771,172.335.968.379.446,47459,131,20,654.411.363.091.821,869.124.992.398.841,0.752954257230141
ADA/USDT,1.2,10,15,20,2,1.1,1,,2021-04-30T21:12:00Z,1481,205.814.989.871.708,14232,162,14,511.815.776.419.943,869.124.992.398.841,0.588886271705637
LINK/USDT,1.2,10,15,20,2,1.1,1,,2021-04-29T17:23:00Z,1114,27.212.118.491.921,12924,165,18,40.867.980.523.654,869.124.992.398.841,0.470219828920761
BTC/USDT,1.2,10,15,20,2,1.1,1,,2021-05-01T04:32:00Z,435,701.728.735.632.183,23279,132,13,386.291.536.450.604,869.124.992.398.841,0.444460278819523
ETH/USDT,1.2,10,15,20,2,1.1,1,,2021-04-30T04:25:00Z,788,385.539.340.101.522,9726,163,12,270.323.808.362.397,869.124.992.398.841,0.311029841192676
ADA/USDT,1.2,10,15,15,2,1,1,,2021-04-30T21:12:00Z,1289,236.471.683.475.562,20100,149,15,412.662.616.906.608,235,17.560.111.357.728
BTT/USDT,1.2,10,15,15,2,1,1,,2021-04-17T17:37:00Z,1250,2.287.016,53459,88,15,407.193.345.688.963,235,173.273.764.122.963
BTC/USDT,1.2,10,15,15,2,1,1,,2021-05-01T04:32:00Z,422,723.345.971.563.981,23279,129,13,374.525.174.877.497,235,159.372.414.841.488
LINK/USDT,1.2,10,15,15,2,1,1,,2021-04-29T17:28:00Z,912,332.399.122.807.017,14416,146,15,300.130.665.234.126,235,127.715.176.695.372
ETH/USDT,1.2,10,15,15,2,1,1,,2021-04-30T12:00:00Z,684,444.824.561.403.508,11652,149,14,216.714.646.519.921,235,0.922189985191155
BTT/USDT,1.2,10,15,15,2,1.05,1,,2021-05-01T03:47:00Z,1581,193.046.805.819.101,47479,125,15,548.953.253.638.579,33.367.845.382.341,16.451.564.293.363
ADA/USDT,1.2,10,15,15,2,1.05,1,,2021-04-30T21:12:00Z,1390,219.289.208.633.093,14251,161,14,463.065.703.118.309,33.367.845.382.341,138.776.027.583.541
BTC/USDT,1.2,10,15,15,2,1.05,1,,2021-05-01T04:32:00Z,423,721.635.933.806.146,23279,129,13,375.977.787.042.878,33.367.845.382.341,112.676.675.024.949
LINK/USDT,1.2,10,15,15,2,1.05,1,,2021-04-29T17:24:00Z,996,304.361.445.783.132,9012,159,15,34.538.552.567.848,33.367.845.382.341,103.508.489.002.189
ETH/USDT,1.2,10,15,15,2,1.05,1,,2021-04-30T04:25:00Z,730,416.171.232.876.712,11652,156,12,241.161.027.628.132,33.367.845.382.341,0.722734791128468
